Skill,Skill Cluster,Category,Type
Feature Extraction,Machine Learning,specific,Concept
Feature Learning,Machine Learning,specific,Concept
Feature Selection,Machine Learning,generic,Concept
Flask,Web Technologies,generic,Framework
Flutter,Mobile Development,generic,Framework
Flux.jl,Deep Learning,specific,Framework
Fortran,Programming Languages,generic,Language
Fuzzy Logic,Mathematics,generic,Concept
GANs,Generative AI,specific,Model
Gaussian Process,Machine Learning,generic,Concept
GCP,Cloud Computing,generic,Platform
Gemini,Generative AI,specific,Model
GenAI,Generative AI,generic,Concept
Generative AI,Generative AI,generic,Concept
Genetic Algorithm,Machine Learning,specific,Algorithm
Git,Software Development,generic,Tool
GitHub Actions,DevOps,generic,CI/CD
GitHub,Software Development,generic,Tool
GitLab CI/CD,DevOps,generic,CI/CD
GitLab,Software Development,generic,Tool
Golang,Programming Languages,generic,Language
Go (Golang),Programming Languages,generic,Language
Godot,Game Development,generic,Engine
Google AutoML,Machine Learning,specific,Framework
Google Cloud ML Engine,Machine Learning,specific,Framework
GPT-3,Generative AI,specific,Model
GPT-3.5,Generative AI,specific,Model
GPT-4,Generative AI,specific,Model
Gradient Boosting,Machine Learning,specific,Algorithm
Grafana,Monitoring,generic,Tool
GraphQL,Web Technologies,generic,Query Language
Great Expectations,Data Engineering,specific,Tool
gRPC,Web Technologies,generic,Protocol
Guidance Navigation And Control Systems,Autonomous Driving,generic,Concept
H2O AutoML,AutoML,specific,Framework
H2O.ai,Machine Learning,specific,Framework
Hadoop,Data Engineering,generic,Framework
Handwriting Recognition,Natural Language Processing,generic,Concept
Haskell,Programming Languages,generic,Language
Hidden Markov Model,Machine Learning,generic,Concept
HTML,Web Technologies,generic,Markup Language
Hug,Web Technologies,specific,Framework
Hugging Face,Natural Language Processing,specific,Framework
Hugging Face Transformers,Natural Language Processing,specific,Library
Hyperparameter Optimization,Machine Learning,specific,Concept
Image Analysis,Visual Image Recognition,generic,Concept
Image Generation,Generative AI,generic,Concept
Image Matching,Visual Image Recognition,generic,Concept
Image Processing,Visual Image Recognition,generic,Concept
Image Recognition,Visual Image Recognition,generic,Concept
Image Segmentation,Visual Image Recognition,generic,Concept
Image Sensor,Visual Image Recognition,generic,Technology
Imagenet,Visual Image Recognition,specific,Dataset
Inference Engine,Machine Learning,specific,Concept
Intelligent Agent,Natural Language Processing,generic,Concept
Intelligent Control,Artificial Intelligence,generic,Concept
Intelligent Software Assistant,Natural Language Processing,generic,Concept
Intelligent Systems,Artificial Intelligence,generic,Concept
Intelligent Virtual Assistant,Natural Language Processing,generic,Concept
Interactive Kiosk,Artificial Intelligence,generic,Concept
InterpretML,Explainable AI,specific,Framework
Ionic,Mobile Development,generic,Framework
IPSoft Amelia,Artificial Intelligence,specific,Framework
Java,Programming Languages,generic,Language
JavaScript,Programming Languages,generic,Language
JAX-RS,Web Technologies,specific,Framework
JAX,Deep Learning,specific,Framework
Jenkins,DevOps,generic,CI/CD
Jira,Project Management,specific,Tool
JSON,Web Technologies,generic,Data Format
Julia,Programming Languages,generic,Language
Jupyter Notebook,Software Development,generic,Tool
JWT,Web Technologies,generic,Protocol
K-Means Clustering,Machine Learning,specific,Algorithm
Kafka,Data Engineering,specific,Framework
Kaldi,Natural Language Processing,specific,Framework
Keras,Neural Networks,specific,Framework
Kernel Methods,Machine Learning,generic,Concept
KNIME,Data Engineering,specific,Framework
Knowledge-Based Configuration,Artificial Intelligence,generic,Concept
Knowledge-Based Systems,Artificial Intelligence,generic,Concept
Kotlin,Programming Languages,generic,Language
Kubeflow,MLOps,specific,Framework
Kubernetes,DevOps,generic,Orchestration
LabVIEW,Programming Languages,generic,Language
LangChain,Generative AI,specific,Framework
Laravel,Web Technologies,generic,Framework
LLM,Generative AI,specific,Model
Large Language Model,Generative AI,specific,Model
Latent Dirichlet Allocation,Natural Language Processing,specific,Algorithm
LaTeX,Programming Languages,generic,Document Preparation
Lexalytics,Natural Language Processing,specific,Framework
LIBSVM,Machine Learning,specific,Library
LiDAR,Autonomous Driving,generic,Technology
LIME,Explainable AI,specific,Library
linux os,Operating Systems,generic,Technology
Lisp,Programming Languages,generic,Language
LLaMA,Generative AI,specific,Model
LlamaIndex,Generative AI,specific,Framework
LLaVA,Generative AI,specific,Model
LLM,Generative AI,specific,Model
LSTM,Neural Networks,specific,Model
LoRA,Generative AI,specific,Technique
Lua,Programming Languages,generic,Language
Machine Learning Algorithms,Machine Learning,generic,Concept
Machine Learning,Machine Learning,generic,Concept
Machine Translation,Natural Language Processing,generic,Concept
Machine Vision,Visual Image Recognition,generic,Concept
Markdown,Web Technologies,generic,Markup Language
Markov Chain,Machine Learning,generic,Concept
Mathematical Modelling,Mathematics,generic,Concept
MATLAB,Programming Languages,generic,Language
